"id","created_at","created_dmy","red","text","type","page_id","audiencia_interaccion","audiencia","comments","likes","reactions","shares","interaccion","ranking","views","user_id","username","name","user_desc","followers","friends","is_reply","is_rt","reply_to_id","location","pais","ciudad","sector","gen","lang","sentiment","sent_personalized","verbs","emojis","concepts","hashtags","mentions","media","link","keywords"
"621027382701924","2022-08-23 12:19:07.0","23-08-2022","Facebook","Toyota C-HR Active 4x2 T/A 2022
desde USD 34,200
Híbrido
Motor: 1.8 L
Potencia: 122 HP
Torque: 142 NM
Transmisión: E-CVT 
Fabricado: Turquía 🇹🇷 ➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
#toyota #toyotaecuador #toyotachr #chr  #ecuador  #guayaquil #quito #cuenca #manta #ambato #cumbaya #samborondon #ecuador #autosecuador #ecuadoriancars #cars #autos #auto #carros #carsec","Post","106284540842880","5","5","1","2","4","0","5","0",,"106284540842880","cars.ec1","Cars.ec",,"0","0",,,,,,,,"U","es","0",,"activar,torcar,turquir","🇹🇷,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖","2022,Potencia,Híbrido,4x2,Hr,Transmisión,Fabricado,Motor,Toyota,Usd","Auto,Ecuadoriancars,Quito,Carsec,Toyotachr,Autosecuador,Manta,Carros,Chr,Toyota,Guayaquil,Cuenca,Samborondon,Cars,Toyotaecuador,Autos,Ecuador,Cumbaya,Ambato",,,"https://www.facebook.com/621027382701924/status/621027382701924","#toyotaecuador"
"620383219433007","2022-08-22 11:59:53.0","22-08-2022","Facebook","Hyundai Ioniq GLS T/A 2022
desde USD 28,490 
Híbrido 
Motor: 1.6L + motor eléctrico
Potencia: 146 HP
Torque: 247 NM
Transmisión: Automática doble embrague de 6 velocidades 
Garantía: 10 años o 160.000 km
Fabricado: Corea del Sur 🇰🇷 ➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
#Hyundai #HyundaiEcuador #hyundaiioniq #ioniq ##guayaquil #quito #cuenca #manta #ambato #cumbaya #samborondon #ecuador #autosecuador #ecuadoriancars #cars #autos #auto #carros #carsec","Post","106284540842880","6","6","1","2","5","0","6","0",,"106284540842880","cars.ec1","Cars.ec",,"0","0",,,,,,,,"U","es","0",,"torcar,garantir,fabricar","🇰🇷,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖","Años,Gls,Embrague,Sur,Usd,Híbrido,Doble,Potencia,Corea Del Sur,Corea,Automática,Eléctrico,Transmisión,Hyundai,Motor,Ioniq,Velocidades,2022","Cuenca,Autos,Cars,Hyundaiecuador,Carsec,Carros,Quito,Ioniq,Manta,Ecuadoriancars,Cumbaya,Samborondon,Hyundai,Autosecuador,Ambato,Hyundaiioniq,Guayaquil,Auto,Ecuador",,,"https://www.facebook.com/620383219433007/status/620383219433007","#hyundaiecuador"
"619186709552658","2022-08-20 12:52:18.0","20-08-2022","Facebook","Chevrolet Tracker LS T/M 2023
desde USD 25,999
Gasolina
Motor: 1.2 Turbo
Potencia: 130 HP
Torque: 190 NM
Transmisión: Manual de 5 velocidades
Fabricado: Brasil 🇧🇷 
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Tracker LTZ T/A
desde USD 27,999
Transmisión: Automática de 6 velocidades
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Tracker Premier T/A
desde USD 29,999
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖ 
#chevrolet #chevroletecuador #chevrolettracker #tracker #ecuador #guayaquil #cumbaya #samborondon #ecuador #autosecuador #ecuadoriancars #cars #autos #auto #carros #carsec","Post","106284540842880","11","11","1","6","10","0","11","0",,"106284540842880","cars.ec1","Cars.ec",,"0","0",,,,,,,,"U","es","0",,"torcar","🇧🇷,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖","Potencia,2023,Premier,Gasolina,Transmisión,Turbo,Brasil,Manual,Motor,Tracker,Fabricado,Automática,Chevrolet,Ltz,Velocidades,Usd","Chevroletecuador,Autosecuador,Tracker,Chevrolettracker,Guayaquil,Auto,Chevrolet,Ecuadoriancars,Cumbaya,Carsec,Autos,Carros,Cars,Samborondon,Ecuador",,,"https://www.facebook.com/619186709552658/status/619186709552658","#chevroletec"
"617532256384770","2022-08-17 22:25:16.0","17-08-2022","Facebook","Nissan Kicks Entry T/M 2023
desde USD 25,500
Gasolina
Motor: 1.6 L
Potencia: 118 HP
Torque: 149 NM
Transmisión: Manual 5 develocidades
Fabricado: Mexico 🇲🇽 
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Kicks Drive T/M
desde USD 26,990
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Kicks Advance T/A CVT 
desde USD 29,990
Transmisión: Automática CVT 
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
#nissan #nissanecuador #nissankicks #kicks #ecuador  #guayaquil #quito #cuenca #manta #ambato #cumbaya #samborondon #ecuador #autosecuador #ecuadoriancars #cars #autos #auto #carros #carsec","Post","106284540842880","4","4","1","2","3","0","4","0",,"106284540842880","cars.ec1","Cars.ec",,"0","0",,,,,,,,"U","es","0",,"entry,torcar,drivir","🇲🇽,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖","Nissan,Automática,Motor,Gasolina,Transmisión,2023,Kicks,Mexico,Develocidades,Advance,Cvt,Fabricado,Manual,Potencia,Usd","Cuenca,Nissan,Autos,Cars,Nissanecuador,Carsec,Carros,Quito,Manta,Ecuadoriancars,Cumbaya,Samborondon,Autosecuador,Kicks,Ambato,Guayaquil,Auto,Nissankicks,Ecuador",,,"https://www.facebook.com/617532256384770/status/617532256384770","#nissanec"
"616880906449905","2022-08-16 21:28:15.0","16-08-2022","Facebook","Nissan Kicks Entry T/M 2022
desde USD 25,500
Gasolina
Motor: 1.6 L
Potencia: 118 HP
Torque: 149 NM
Transmisión: Manual 5 develocidades
Fabricado: Mexico 🇲🇽 
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Kicks Drive T/M
desde USD 26,990
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Kicks Advance T/A CVT 
desde USD 29,990
Transmisión: Automática CVT 
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
#nissan #nissanecuador #nissankicks #kicks #ecuador  #guayaquil #quito #cuenca #manta #ambato #cumbaya #samborondon #ecuador #autosecuador #ecuadoriancars #cars #autos #auto #carros #carsec","Post","106284540842880","9","9","1","2","8","0","9","0",,"106284540842880","cars.ec1","Cars.ec",,"0","0",,,,,,,,"U","es","0",,"entry,torcar,drivir","🇲🇽,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖","Develocidades,Transmisión,Nissan,Usd,Cvt,Automática,Motor,Gasolina,Manual,Fabricado,Potencia,2022,Kicks,Mexico,Advance","Ambato,Carsec,Auto,Carros,Guayaquil,Quito,Autos,Kicks,Cars,Autosecuador,Nissankicks,Cumbaya,Cuenca,Samborondon,Nissanecuador,Ecuador,Nissan,Ecuadoriancars,Manta",,,"https://www.facebook.com/616880906449905/status/616880906449905","#nissanec"
"614312043373458","2022-08-12 23:47:19.0","12-08-2022","Facebook","Chevrolet Groove LTZ T/M 2022
desde USD 23,590
Gasolina
Motor: 1.5 L
Potencia: 110 HP
Torque: 147 NM
Transmisión: Manual de 6 velocidades
Fabricado: China 🇨🇳
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
Chevrolet Groove Premier T/M
desde USD 25,990
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
#chevrolet #chevroletecuador #groove #chevroletgroove #guayaquil #quito #cuenca #manta #ambato #cumbaya #samborondon #ecuador #autosecuador #ecuadoriancars #cars #carros #carsec","Post","106284540842880","7","7","1","5","6","0","7","0",,"106284540842880","cars.ec1","Cars.ec",,"0","0",,,,,,,,"U","es","0",,"torcar","🇨🇳,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖","Ltz,Fabricado,Manual,Usd,Groove,China,Premier,Potencia,Transmisión,Gasolina,2022,Velocidades,Motor,Chevrolet","Guayaquil,Cuenca,Cars,Quito,Ambato,Cumbaya,Carros,Carsec,Groove,Manta,Autosecuador,Chevroletecuador,Ecuador,Ecuadoriancars,Chevroletgroove,Samborondon,Chevrolet",,,"https://www.facebook.com/614312043373458/status/614312043373458","#chevroletec"
"7131926172711177477","2022-08-15 02:36:05.0","15-08-2022","Tik Tok","#ecuadortiktok#ecuador_turismo#ecuadorlomejor#ecuadorvideo#ecuadorcheck#ecuadorian#ecuadorquito#quito#quito_ecuador#guayaquil#guayaquil_ecuador#guayas #viral#cc#ht#montecristi#kia #kiacerato #kiacerato2022 #kiaceratokoup #kiaceratogt  #vallenato#DePeque#PVP#ecuador#ecuador🇪🇨 #guayacobatracio#manta#manaba#uio#ec#pt#ptp#fy#fyp#foryou#foryourpage#parati#paratupagina#ambato#salinas#montañita#esmeraldas#cuenca_ecuador#samborondon#camionetas#ecuadoriancars#carrosecuador#ecuatoriano#ecuatoriana#ecuatoriana🇪🇨#ecuadorcaliente#feriadoecuador #carondelet#lasso#ecuavisa#teleamazonas#video#videoviral#greenscreen#greenscreenvideo#greenscreensticker#greenscreenscan#pongamosloaprueba#fake#humor#real#kiaecuador","Post","7001710162705564677","1570","1521","0","22","22","0","22","6","1162","carsculture.ec","carsculture.ec","carsculture.ec","Cultura automotriz en Ecuador y el mundo.","3378","0",,,,,,,,"M","und","0",,,"🇪🇨,🇪🇨",,"Ecuadortiktok,Ecuador_turismo,Ecuadorlomejor,Ecuadorvideo,Ecuadorcheck,Ecuadorian,Ecuadorquito,Quito,Quito_ecuador,Guayaquil,Guayaquil_ecuador,Guayas,Viral,Cc,Ht,Montecristi,Kia,Kiacerato,Kiacerato2022,Kiaceratokoup,Kiaceratogt,Vallenato,Depeque,Pvp,Ecuador,Ecuador🇪🇨,Guayacobatracio,Manta,Manaba,Uio,Ec,Pt,Ptp,Fy,Fyp,Foryou,Foryourpage,Parati,Paratupagina,Ambato,Salinas,Montañita,Esmeraldas,Cuenca_ecuador,Samborondon,Camionetas,Ecuadoriancars,Carrosecuador,Ecuatoriano,Ecuatoriana,Ecuatoriana🇪🇨,Ecuadorcaliente,Feriadoecuador,Carondelet,Lasso,Ecuavisa,Teleamazonas,Video,Videoviral,Greenscreen,Greenscreenvideo,Greenscreensticker,Greenscreenscan,Pongamosloaprueba,Fake,Humor,Real,Kiaecuador",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/3d42141cc79d4b638ee820cd5ea7af01?x-expires=1661335200&x-signature=62B6mVb212swTvPsFVsDIzwvhPo%3D","https://www.tiktok.com/@carsculture.ec/video/7131926172711177477","#kiaecuador"
"7137467865485118726","2022-08-30 01:00:42.0","30-08-2022","Tik Tok","A los que disfrutan manejar dentro y fuera de la pantalla ¡Feliz día! #gamers #gaming #minecraft #gta #toyota #toyotaecuador #toyotaestoyota #toyota #fyp","Post","7103539959714300934","1993","1957","1","44","44","1","46","5","1758","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1539","5",,,,,,,,"F","es","1",,"disfrutar,manejar",,"Feliz,Feliz Día,Pantalla","Gamers,Gaming,Minecraft,Gta,Toyota,Toyotaecuador,Toyotaestoyota,Toyota,Fyp",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/e3dbb17281a14344bfa4fca05269c689?x-expires=1661983200&x-signature=5EhyW0aZ7uzi5GpkHauot06CfO8%3D","https://www.tiktok.com/@toyotacasabaca/video/7137467865485118726","#toyotaecuador"
"7136233761108217094","2022-08-26 17:11:44.0","26-08-2022","Tik Tok","Manejar un #híbrido ayuda al planeta y tú ¿cómo aportas? #Toyota #Hibrido #toyotahibrido #yariscross #corollacross #toyotaecuador #fyp #savetheplanet #toyotaestoyota ","Post","7103539959714300934","30698","30657","34","730","730","38","802","5","29700","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1555","5",,,,,,,,"F","es","1",,"manejar,aportar",,"Ayuda,Planeta","Híbrido,Toyota,Hibrido,Toyotahibrido,Yariscross,Corollacross,Toyotaecuador,Fyp,Savetheplanet,Toyotaestoyota",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d89ddf862b3f4bcd9f5b61e9836c6082?x-expires=1661677200&x-signature=Q2WXKWJKMEZezzOjaIUVbpea%2B%2Bs%3D","https://www.tiktok.com/@toyotacasabaca/video/7136233761108217094","#toyotaecuador"
"7135992086276377861","2022-08-26 01:33:56.0","26-08-2022","Tik Tok","Esfuerzo y lucha para alcanzar los dos podios en el #Rally de Bélgica #Toyota #ToyotaGAZOORacing #GRYaris #WRC #YpresRally #bélgica #gazooracing #toyotaecuador #toyotaestoyota ","Post","7103539959714300934","1460","1375","0","77","77","0","77","5","1147","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1514","5",,,,,,,,"F","es","1",,"alcanzar",,"Bélgica,Lucha,Esfuerzo,Podios","Rally,Toyota,Toyotagazooracing,Gryaris,Wrc,Ypresrally,Bélgica,Gazooracing,Toyotaecuador,Toyotaestoyota",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f1604ebb16a54e779fea0b998a3827fd?x-expires=1661824800&x-signature=QjjA5HkOTZhLqGlyZE1IRen83Rw%3D","https://www.tiktok.com/@toyotacasabaca/video/7135992086276377861","#toyotaecuador"
"7134505849606688005","2022-08-22 01:26:36.0","22-08-2022","Tik Tok","#eventos #toyota para #amantestoyota #toyoteros #comunidadtoyota #toyotaecuador #ecuador #fun #life ","Post","7103539959714300934","767","704","0","28","28","1","29","5","522","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1539","5",,,,,,,,"F","tl","8",,,,,"Eventos,Toyota,Amantestoyota,Toyoteros,Comunidadtoyota,Toyotaecuador,Ecuador,Fun,Life",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/927442db640b461aab32244908ff04ec?x-expires=1661356800&x-signature=5yB6wLbEk%2F2cWjWa7B%2B2SN6N7T0%3D","https://www.tiktok.com/@toyotacasabaca/video/7134505849606688005","#toyotaecuador"
"7133759750902172934","2022-08-20 01:11:19.0","20-08-2022","Tik Tok","Nada es tan fotografiable como un #toyota #hilux #fortuner #corolla #yaris #landcruiser #chr #highlander #4runner #toyotaecuador #ecuador #toyotero #toyotaestoyota","Post","7103539959714300934","1027","978","0","29","29","2","31","5","794","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1539","5",,,,,,,,"F","es","1",,,,"Fotografiable","Toyota,Hilux,Fortuner,Corolla,Yaris,Landcruiser,Chr,Highlander,4runner,Toyotaecuador,Ecuador,Toyotero,Toyotaestoyota",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/948d1b7cda6846b398683555e2fdf945_1660957881?x-expires=1661356800&x-signature=S0ay9zAr%2B7kxlIzP%2BuwZCfvb%2FBs%3D","https://www.tiktok.com/@toyotacasabaca/video/7133759750902172934","#toyotaecuador"
"7132985669860822277","2022-08-17 23:07:29.0","17-08-2022","Tik Tok","Recuerda la prioridad la tiene el #peaton #diadelpeaton #toyota #toyotaecuador #ecuador #fyp #foryou #carros #car","Post","7103539959714300934","4311","4288","1","62","62","1","64","5","4071","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1539","5",,,,,,,,"F","es","1",,"recordar",,"Recuerda,Prioridad","Peaton,Diadelpeaton,Toyota,Toyotaecuador,Ecuador,Fyp,Foryou,Carros,Car",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/8dd58e5d8df2451083c5706dbda6688d?x-expires=1661824800&x-signature=1iQr3kZgo3pfPwyDS45sItE545E%3D","https://www.tiktok.com/@toyotacasabaca/video/7132985669860822277","#toyotaecuador"
"7132527494208425221","2022-08-16 17:29:30.0","16-08-2022","Tik Tok","8 generaciones de ser #indestructible #hilux #toyota #toyotaecuador #ecuador #leyendas #hilux4x4 #generacioneshilux #hiluxgenerations","Post","7103539959714300934","3432","3374","2","120","120","7","129","5","3094","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1514","5",,,,,,,,"F","es","1",,,,"Generaciones","Indestructible,Hilux,Toyota,Toyotaecuador,Ecuador,Leyendas,Hilux4x4,Generacioneshilux,Hiluxgenerations",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/76eb138853734c14804dff74fa21b647?x-expires=1661025600&x-signature=09FJY3%2FLmuXrkScABLEA21WS4II%3D","https://www.tiktok.com/@toyotacasabaca/video/7132527494208425221","#toyotaecuador"
"7131907932228259077","2022-08-15 01:25:19.0","15-08-2022","Tik Tok","El amor #toyota es para siempre #toyotaecuador #ecuador #rav #hilux #corolla #fortuner  ","Post","7103539959714300934","5350","5308","5","136","136","6","147","5","5010","toyotacasabaca","toyotacasabaca","Casabaca","Toyota es Toyota y desde 1959 Toyota es Casabaca.","1514","5",,,,,,,,"F","es","1",,,,"Amor","Toyota,Toyotaecuador,Ecuador,Rav,Hilux,Corolla,Fortuner",,"https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/553257b74fcb4eb185d34eeaecc6aa01_1660526722?x-expires=1661025600&x-signature=jm17AF0eSS506GuJjouh3gLFwBA%3D","https://www.tiktok.com/@toyotacasabaca/video/7131907932228259077","#toyotaecuador"
"1562082570254385154","2022-08-23 14:21:21.0","23-08-2022","Twitter","@Alee_GomezM @ToyotaEcuador imaginate si es una cotización, cuanto sera el tiempo para entregarte el carro","Tweet","111360177","34","34","0","0","0","0","0","3",,"111360177","JimmyCastroo","Castro","Music gives a soul to the universe, wings to the mind, flight to the imagination and life to everything","342","300","true","false","1562076022463500288","Dark Side Of The Moon","USA","Libby",,"M","es","0",,"ser,entregartir",,"Imaginate,Cotización,Carro",,"83199009,351730846",,"https://twitter.com/JimmyCastroo/status/1562082570254385154","@toyotaecuador"
